,Country/State,Value,Coordinates
0,Alabama,450.8," [32.806671, -86.791130]"
1,Alaska,418.6,"[61.370716, -152.404419]"
2,Arizona,385.7,"[33.729759, -111.431221]"
3,Arkansas,479.0,"[34.969704, -105.311104]"
4,California,402.4,"[36.116203, -119.681564]"
5,Colorado,396.7,"[39.059811,  -105.311104]"
6,Connecticut,465.1,"[41.597782, -72.755371]"
7,Delaware,488.2,"[39.318523,-75.507141]"
8,Florida,460.2,"[27.766279, -81.686783]"
9,Georgia,468.5,"[33.040619, -83.643074]"
10,Hawaii,415.5,"[21.094318, -157.498337]"
11,Idaho,445.1,"[44.240459, -114.478828]"
12,Illinois,466.8,"[40.349457, -88.986137]"
13,Indiana,457.9,"[39.849426, -86.258278]"
14,Iowa,484.1,"[42.011539, -93.210526]"
15,Kansas,457.8,"[38.526600, -96.726486]"
16,Kentucky,519.6,"[37.668140, -84.670067]"
17,Louisiana,482.4,"[31.169546, -91.867805]"
18,Maine,476.0,"[44.693947, -69.381927]"
19,Maryland,452.5,"[39.063946, -76.802101]"
20,Massachusetts,456.9,"[42.230171, -71.530106]"
21,Michigan,448.5,"[43.326618, -84.536095]"
22,Minnesota,469.5,"[45.694454, -93.900192]"
23,Mississippi,474.4,"[32.741646, -89.678696]"
24,Missouri,452.3,"[38.456085, -92.288368]"
25,Montana,462.9,"[46.921925, -110.454353]"
26,Nebraska,467.7,"[41.125370, -98.268082]"
27,Nevada,382.3,"[38.313515, -117.055374]"
28,New_Hampshire,479.4,"[43.452492, -71.563896]"
29,New_Jersey,486.9,"[40.298904, -74.521011]"
30,New_Mexico,373.2,"[34.840515, -106.248482]"
31,New_York,483.1,"[42.165726, -74.948051]"
32,North_Carolina,468.9,"[35.630066,  -79.806419]"
33,North_Dakota,453.2,"[47.528912, -99.784012]"
34,Ohio,467.5,"[40.388783, -82.764915]"
35,Oklahoma,450.2,"[35.565342, -96.928917]"
36,Oregon,430.5,"[44.572021, -122.070938]"
37,Pennsylvania,480.0,"[40.590752, -77.209755]"
38,Puerto Rico,364.9,"[18.2208, 66.5901]"
39,Rhode Island,472.8,"[41.680893, -71.51178]"
40,South Carolina,449.6,"[33.856892, -80.945007]"
41,South Dakota,459.2,"[44.299782, -99.438828]"
42,Tennessee,466.0,"[35.747845, -86.692345]"
43,Texas,411.2,"[31.054487, -97.563461]"
44,Utah,405.4,"[40.150032, -111.862434]"
45,Vermont,457.4,"[44.045876, -72.710686]"
46,Virginia,411.0,"[37.769337, -78.169968]"
47,Washington,442.4,"[47.400902, -121.490494]"
48,West Virginia,478.9,"[38.491226, -80.954453]"
49,Wisconsin,468.6,"[44.268543, -89.616508]"
50,Wyoming,402.1,"[42.755966, -107.30249]"
51,Austria,483.61,"[47.5162, 14.5501]"
52,Belarus,483.0,"[53.7098, 27.9534]]"
53,Belgium,604.12,"[50.5039, 4.4699]"
54,Bulgaria,443.36,"[42.7339, 25.4858]"
55,Croatia,559.75,"[45.1000, 15.2000]"
56,Czechia,905.73,"[49.8175, 15.4730]"
57,Denmark,746.04,"[56.2639, 9.5018]"
58,Estonia,659.09,"[58.5953, 25.0136]"
59,Finland,596.22,"[61.9241, 25.7482]"
60,France,578.1,"[46.2276, 2.2137]"
61,Georgia,129.6,"[42.3154, 43.3569]]"
62,Hungary,978.63,"[47.1625, 19.5033]]"
63,Ireland,460.5,"[53.4129, 8.2439]"
64,Island,475.07,"[64.9631, 19.0208]"
65,Israel,383.98,"[31.0461, 34.8516]"
66,Italy,578.18,"[41.8719, 12.5674]"
67,Kazakhstan,197.75,"[48.0196, 66.9237]"
68,Kyrgyzstan,95.01,"[41.2044, 74.7661]"
69,Latvia,583.31,"[56.8796, 24.6032]"
70,Lithuania,589.87,"[55.1694, 23.8813]"
71,Luxembourg,401.03,"[49.8153, 6.1296]"
72,Malta,443.99,"[35.9375, 14.3754]"
73,Moldova,249.13,"[47.4116, 28.3699]"
74,Netherlands,629.19,"[52.1326, 5.2913]"
75,Norway,614.82,"[60.4720, 8.4689]"
76,Poland,412.24,"[51.9194, 19.1451]"
77,Romania,334.8,"[45.9432, 24.9668]"
78,Russia,395.3,"[61.5240, 105.3188]"
79,San Marino,768.01,"[43.9424, 12.4578]"
80,Serbia,495.23,"[44.0165, 21.0059]"
81,Slovakia,557.56,"[48.6690, 19.6990]"
82,Slovenia,684.18,"[46.1512, 14.9955]"
83,Sweden,665.29,"[60.1282, 18.6435]"
84,Switzerland,499.86,"[46.8182, 8.2275]"
85,Tajikistan,37.31,"[38.8610, 71.2761]"
86,Turkey,201.97,"[38.9637, 35.2433]"
87,Turkmenistan,72.39,"[38.9697, 59.5563]"
88,UK,556.76,"[55.3781, 3.4360]"
89,Ukraine,298.83,"[48.3794, 31.1656]"
90,Uzbekistan,68.55,"[41.3775, 64.5853]"
91,Alberta,436.6,"[53.9333, 116.5765]"
92,British Columbia,518.3,"[53.7267, 127.6476]"
93,Manitoba,501.2,"[53.7609, 98.8139]"
94,New Brunswick,618.6,"[46.5653, 66.4619]"
95,Northwest Territories,364.6,"[64.8255, 124.8457]"
96,Nova Scotia,650.5,"[44.6820, 63.7443]"
97,Nunavut,180.7,"[70.2998, 83.1076]"
98,Ontario,555.0,"[51.2538, 85.3232]"
99,Prince Edward Island,616.8,"[46.5107, 63.4168]"
100,Saskatchewan,491.0,"[52.9399, 106.4509]"
101,Yukon,363.5,"[64.2823, 135.0000]"
