Index,Location,Sex,Year,Mx,Upper,Lower,LOC
1,Alabama,Male,1/1/81,355.0900526,364.8025609,343.9641639,AL
2,Alabama,Male,1/1/82,350.1255167,360.6599654,339.1423968,AL
3,Alabama,Male,1/1/83,347.8082915,357.7727625,336.8772708,AL
4,Alabama,Male,1/1/84,351.7630096,362.4729641,340.8057983,AL
5,Alabama,Male,1/1/85,353.813274,363.1898255,341.9161351,AL
6,Alabama,Male,1/1/86,357.3919521,366.820615,345.2814403,AL
7,Alabama,Male,1/1/87,354.8984518,363.2118855,343.2173624,AL
8,Alabama,Male,1/1/88,357.3263121,365.5662215,344.3294283,AL
9,Alabama,Male,1/1/89,354.8773551,362.9941588,341.2548321,AL
10,Alabama,Male,1/1/90,350.3227901,358.4190766,336.4752236,AL
11,Alabama,Male,1/1/91,351.0869191,358.7726192,336.8335437,AL
12,Alabama,Male,1/1/92,346.8597942,354.8042444,332.7445783,AL
13,Alabama,Male,1/1/93,348.7351306,356.8119811,334.5792292,AL
14,Alabama,Male,1/1/94,350.6720974,358.1530089,335.7659237,AL
15,Alabama,Male,1/1/95,352.0218921,359.9478771,337.128368,AL
16,Alabama,Male,1/1/96,345.205563,352.6506598,330.5563635,AL
17,Alabama,Male,1/1/97,339.4168586,347.4324256,326.3458513,AL
18,Alabama,Male,1/1/98,336.8185092,345.4792927,324.5204447,AL
19,Alabama,Male,1/1/99,333.5639465,342.6321889,321.3980544,AL
20,Alabama,Male,1/1/00,333.7796544,342.2784331,322.9721044,AL
21,Alabama,Male,1/1/01,329.8197385,339.8370375,319.5979242,AL
22,Alabama,Male,1/1/02,328.2390361,338.3429352,318.9174897,AL
23,Alabama,Male,1/1/03,324.7595912,335.5058417,315.9607577,AL
24,Alabama,Male,1/1/04,315.0471569,325.9669999,307.2856285,AL
25,Alabama,Male,1/1/05,313.180863,324.1150401,304.9849473,AL
26,Alabama,Male,1/1/06,310.3531596,321.8622524,303.0278752,AL
27,Alabama,Male,1/1/07,304.3441464,317.0883958,297.2111919,AL
28,Alabama,Male,1/1/08,300.6875607,313.8493849,293.3156926,AL
29,Alabama,Male,1/1/09,297.6906571,310.2105758,290.2409565,AL
30,Alabama,Male,1/1/10,293.3850951,306.3806398,285.7754743,AL
31,Alabama,Male,1/1/11,294.1913823,308.3541643,286.6529685,AL
32,Alabama,Male,1/1/12,291.1004866,304.7076958,283.4827933,AL
33,Alabama,Male,1/1/13,292.8126227,307.5154292,284.9514427,AL
34,Alabama,Male,1/1/14,292.1051871,307.5550064,284.0255222,AL
35,Alabama,Female,1/1/80,183.8007577,187.4624503,179.9038952,AL
36,Alabama,Female,1/1/81,182.9553837,186.3489413,179.0582188,AL
37,Alabama,Female,1/1/82,182.1753618,185.6619215,178.458692,AL
38,Alabama,Female,1/1/83,184.3469353,187.6948436,180.5277797,AL
39,Alabama,Female,1/1/84,186.7124921,190.2034116,182.414252,AL
40,Alabama,Female,1/1/85,188.0337641,191.5746884,184.0565218,AL
41,Alabama,Female,1/1/86,189.0648815,192.4561614,184.854331,AL
42,Alabama,Female,1/1/87,190.6809011,194.3832104,186.5489875,AL
43,Alabama,Female,1/1/88,192.4772632,195.9941544,187.9972578,AL
44,Alabama,Female,1/1/89,192.1663775,195.6907059,187.1754481,AL
45,Alabama,Female,1/1/90,192.1384082,195.5740421,187.2528969,AL
46,Alabama,Female,1/1/91,193.5297634,197.4168637,188.3840805,AL
47,Alabama,Female,1/1/92,191.0259354,194.582197,186.28494,AL
48,Alabama,Female,1/1/93,195.4052146,199.106331,190.395063,AL
49,Alabama,Female,1/1/94,196.3298834,200.0968778,190.9103324,AL
50,Alabama,Female,1/1/95,197.4078415,201.0899912,192.6889377,AL
51,Alabama,Female,1/1/96,196.0152196,199.6106738,191.8653252,AL
52,Alabama,Female,1/1/97,195.4482532,199.023297,191.384616,AL
53,Alabama,Female,1/1/98,194.1090545,197.4764701,190.0892384,AL
